Pregunta,Respuesta,Categoría
[HW-12] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #12.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-13] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #13.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-14] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #14.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-15] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #15.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-16] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #16.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-17] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #17.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-18] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #18.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-19] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #19.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[HW-20] BSOD WHEA_UNCORRECTABLE_ERROR al compilar y virtualizar; equipo empresarial #20.,"Parece que hay inestabilidad por temperatura o RAM con XMP agresivo. Prueba esto: 2. monitorea con HWiNFO; si supera 90 °C, limpia y cambia pasta. 3. desactiva XMP/DOCP en BIOS y corre MemTest86 (4 pasadas). 4. actualiza BIOS/UEFI a la última versión estable. 5. prueba otra PSU para descartar alimentación. Como recomendación, ajusta curva PWM 60–85 °C y mantenimiento trimestral.",Hardware
[SO-01] Arranque lento (>4 min) después de parches acumulativos en lote #1.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-02] Arranque lento (>4 min) después de parches acumulativos en lote #2.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-03] Arranque lento (>4 min) después de parches acumulativos en lote #3.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-04] Arranque lento (>4 min) después de parches acumulativos en lote #4.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-05] Arranque lento (>4 min) después de parches acumulativos en lote #5.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-06] Arranque lento (>4 min) después de parches acumulativos en lote #6.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-07] Arranque lento (>4 min) después de parches acumulativos en lote #7.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-08] Arranque lento (>4 min) después de parches acumulativos en lote #8.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-09] Arranque lento (>4 min) después de parches acumulativos en lote #9.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-10] Arranque lento (>4 min) después de parches acumulativos en lote #10.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-11] Arranque lento (>4 min) después de parches acumulativos en lote #11.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-12] Arranque lento (>4 min) después de parches acumulativos en lote #12.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-13] Arranque lento (>4 min) después de parches acumulativos en lote #13.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-14] Arranque lento (>4 min) después de parches acumulativos en lote #14.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-15] Arranque lento (>4 min) después de parches acumulativos en lote #15.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-16] Arranque lento (>4 min) después de parches acumulativos en lote #16.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-17] Arranque lento (>4 min) después de parches acumulativos en lote #17.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-18] Arranque lento (>4 min) después de parches acumulativos en lote #18.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-19] Arranque lento (>4 min) después de parches acumulativos en lote #19.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[SO-20] Arranque lento (>4 min) después de parches acumulativos en lote #20.,"Parece que servicios con timeout y almacén de componentes dañado. Prueba esto: 2. revisa eventos de arranque en eventvwr.msc > Sistema. 3. ejecuta `DISM /Online /Cleanup-Image /RestoreHealth` y luego `sfc /scannow`. 4. deshabilita programas de inicio no críticos. 5. actualiza drivers desde fabricante (evita genéricos). Como recomendación, valida compatibilidad de controladores antes de grandes updates.",Sistemas Operativos
[NET-01] Cliente #1 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-02] Cliente #2 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-03] Cliente #3 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-04] Cliente #4 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-05] Cliente #5 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-06] Cliente #6 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-07] Cliente #7 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-08] Cliente #8 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-09] Cliente #9 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-10] Cliente #10 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-11] Cliente #11 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-12] Cliente #12 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-13] Cliente #13 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-14] Cliente #14 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-15] Cliente #15 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-16] Cliente #16 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-17] Cliente #17 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-18] Cliente #18 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-19] Cliente #19 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[NET-20] Cliente #20 no recibe IP en VLAN corporativa; otros sí.,"Parece que scope DHCP agotado o filtro de MAC activo. Prueba esto: 2. verifica reservas/filtros en el servidor DHCP. 3. `ipconfig /release` y `ipconfig /renew` en el cliente. 4. actualiza driver de NIC y desactiva ahorro de energía. 5. si es Wi‑Fi, valida 802.1X y cadena de certificados. Como recomendación, alertas al 80% del pool y documentación de reservas.",Redes y Dominio
[SRV-01] SYSVOL no replica entre DC origen/destino en ventana semanal #1; GPO desactualizadas.,"Parece que DFSR detenido o en estado 2213 (auto‑recovery). Prueba esto: 2. `wmic /namespace:\\root\microsoftdfs path dfsrVolumeConfig set ResumeReplication=1` en el DC afectado. 3. `dfsrdiag ReplicationState` y backlog con `dfsrdiag backlog`. 4. revisa espacio en staging y eventos 5002/5004. Como recomendación, dimensiona staging y programa verificación semanal de replicación.",Servidores Windows
